IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
348243,538013,1111527,2875485,2497923,1847211,588535,421393,406141,789733,1979437,2687127,2190793,1242527,543453,PP
1226387,4367677,7228191,8387243,8386101,6430447,3055193,2580957,2590113,5554819,8386909,8385353,7727949,4761995,2849795,PP
765987,1230421,2038567,4701615,2659531,1474807,681633,512883,921585,1572097,3329345,3663515,2087349,1099103,641149,PP
1321809,2244877,3864451,6606091,7729221,4622727,2139291,1292955,1647705,2937949,5191853,7155067,6166831,3397615,1748105,PP
790957,1148725,1775127,2901465,2681779,1595873,697919,424285,872079,1431693,2331815,2793645,2134361,1159473,602651,PP
1101735,1697619,2770781,3240549,4003033,1588449,970139,566937,1291121,2135739,2962875,3630391,2834213,1300003,807743,PP
1121219,1778319,2753839,3835591,3754255,2030359,882389,499047,1352669,2192141,3280231,3815123,2907981,1491861,724503,PP
1329811,2419535,3965577,7226193,7275513,3838815,1878521,915883,1732043,3067017,5549453,7195827,5527897,2880491,1426323,PLA
1317923,2434945,4124723,7231599,7130829,3775409,1862313,987065,1736449,3153153,5630779,7127767,5429149,2857317,1464075,PLA
1145973,2250131,3399373,5548059,5343983,2777753,1588811,723429,1570727,2713203,4437641,5420133,4052975,2225477,1191995,PLA
1280717,2384727,3972921,6709653,6496209,3245895,1781301,863149,1695513,3053307,5292959,6563189,4850547,2529699,1347551,PLA
1240535,2367703,4015851,7551497,7000955,3935869,1896337,908677,1665367,3061799,5735513,7230933,5447159,2926539,1431285,PLA
1223107,2413331,3674865,6529975,5924673,3198891,1755311,965747,1683823,2927819,5059045,6194197,4549175,2498181,1395105,PLA
1440717,2708037,4634241,8386167,8387573,5221471,2523927,1288445,1936549,3563691,7010271,8388439,7075729,3903275,1948847,PLA
1442261,2742197,4735879,8388531,8387459,5109015,2538753,1279381,1937205,3595205,6896983,8386843,6993835,3828233,1938353,PLA
1229369,2300105,3697311,7392837,6543629,3158345,1709599,794797,1633673,2882945,5514765,6956093,4848649,2447495,1288361,PLA
1473661,2749829,4645761,8034591,8054121,3985573,2027275,1008045,1953507,3552301,6282893,7998103,6003293,3019641,1551213,PLA
1473869,2776949,4708859,8278619,8387837,4044089,2062857,1016943,1969783,3596773,6443789,8303053,6222493,3066569,1574801,PLA
889637,1696607,3015703,8383253,6329041,3274937,1306465,854319,1202327,2270123,5851303,7515775,4800843,2306039,1118637,PLA
1467421,2649821,4352681,7761093,8387867,4059383,2058789,991849,1905797,3362601,6000727,8043681,6209013,3069131,1559649,PLA
2226593,3808629,6385311,8386991,8386309,5805211,2829827,1348731,2790235,4899791,8386539,8385487,8285729,4324355,2122163,PLA
1423783,2589157,4327243,7894507,7701741,4147369,1979343,1035503,1857485,3324571,6060143,7762853,5907547,3073307,1540711,PLA
1520249,2780737,4489803,7676819,8119845,4109947,2135247,1011799,1988577,3490091,6029993,7871457,6101989,3137473,1608267,PLA
1565235,2794811,4581107,8001577,8139065,4245537,2178127,1031441,2036247,3551043,6228283,8027045,6175267,3223153,1639575,PLA
1317021,2404639,3996443,6963463,6314465,3346365,1738687,860307,1723815,3077831,5437765,6626311,4826855,2558213,1337259,PLA
1626803,3181729,5865363,8386211,8385591,7242493,3044347,1896181,2221555,4347861,8385255,8385799,8385269,5122057,2486005,Other
1908977,3566589,6163493,8367871,8367851,8370075,4271925,2305239,2532033,4673949,8370329,8369137,8368857,6292233,3276359,Other
1296695,2163389,3581217,5385169,4603197,1025449,553907,341107,1595907,2758575,4440327,4966025,2808637,817285,483781,Other
